foodid,food_name,unit,kal,select_time
514,甘藍平均值,100g,23,0
515,梨山甘藍(尖球形),100g,24,0
516,甘藍(扁圓形),100g,21,0
517,甘藍(圓球形),100g,24,0
518,紫色甘藍,100g,28,0
519,甘藍芽,100g,33,0
520,冷凍甘藍,100g,20,0
521,脫水甘藍,100g,341,0
522,甘藍乾,100g,180,0
523,酸甘藍菜,100g,22,0
524,甘藷葉,100g,28,0
525,蚵仔白菜,100g,13,0
526,荷葉白菜,100g,14,0
527,葵扇白菜,100g,14,0
528,黑葉白菜(短梗),100g,15,0
529,千寶菜,100g,20,0
530,土植小白菜(1月取樣),100g,10,0
531,土植小白菜(3月取樣),100g,12,0
532,土植小白菜(4月取樣),100g,13,0
533,土植小白菜(7月取樣),100g,10,0
534,土植小白菜(10月取樣),100g,11,0
535,水植小白菜(1月取樣),100g,13,0
536,水植小白菜(4月取樣),100g,13,0
537,水植小白菜(7月取樣),100g,12,0
538,水植小白菜(10月取樣),100g,12,0
539,有機小白菜(1月取樣),100g,9,0
540,有機小白菜(4月取樣),100g,14,0
541,有機小白菜(7月取樣),100g,11,0
542,有機小白菜(10月取樣),100g,13,0
543,珍珠小白菜,100g,11,0
544,油菜心,100g,31,0
545,油菜,100g,12,0
546,土植青江菜(1月取樣),100g,10,0
547,土植青江菜(3月取樣),100g,11,0
548,土植青江菜(4月取樣),100g,11,0
549,土植青江菜(7月取樣),100g,15,0
550,土植青江菜(10月取樣),100g,12,0
551,水植青江菜(1月取樣),100g,12,0
552,水植青江菜(4月取樣),100g,14,0
553,水植青江菜(7月取樣),100g,14,0
554,水植青江菜(10月取樣),100g,11,0
555,有機青江菜(1月取樣),100g,10,0
556,有機青江菜(4月取樣),100g,15,0
557,有機青江菜(7月取樣),100g,21,0
558,有機青江菜(10月取樣),100g,9,0
559,塔菇菜,100g,11,0
560,廣島野菜,100g,8,0
561,結球白菜平均值,100g,17,0
562,煙台白菜,100g,14,0
563,迷你竹筍白菜,100g,19,0
564,翠玉白菜,100g,19,0
565,包心白菜,100g,14,0
566,白菜芽,100g,54,0
567,白鳳菜,100g,27,0
568,紅鳳菜,100g,22,0
569,豆瓣菜,100g,21,0
570,明日葉,100g,57,0
571,山芹菜,100g,27,0
572,芹菜平均值,100g,15,0
573,芹菜(青梗),100g,12,0
574,芹菜(黃梗),100g,18,0
575,西洋芹菜,100g,11,0
576,大心芥菜,100g,35,0
577,大芥菜,100g,19,0
578,包心芥菜,100g,17,0
579,芥菜平均值,100g,19,0
580,芥菜,100g,18,0
581,雪裡蕻,100g,20,0
582,梅乾菜,100g,105,0
583,榨菜,100g,25,0
584,酸菜,100g,17,0
585,芥藍菜,100g,20,0
586,芥藍芽,100g,26,0
587,芫荽,100g,26,0
588,紅梗珍珠菜,100g,37,0
589,食茱萸,100g,127,0
590,香樁,100g,99,0
591,茴香,100g,24,0
592,馬齒莧,100g,14,0
593,茼蒿,100g,16,0
594,日本茼蒿,100g,15,0
595,昭和草,100g,26,0
596,隼人瓜苗,100g,24,0
597,白莧菜,100g,17,0
598,紅莧菜,100g,20,0
599,野莧菜,100g,41,0
600,紫蘇,100g,71,0
601,菠菜,100g,18,0
602,菠菜(葉),100g,24,0
603,冷凍菠菜,100g,17,0
604,菾菜,100g,21,0
605,黃金菾菜,100g,18,0
606,落葵,100g,33,0
607,藤三七,100g,21,0
608,不結球萵苣平均值,100g,16,0
609,奶油萵苣(日本種),100g,16,0
610,紅葉萵苣(荷蘭種）,100g,16,0
611,廣東萵苣,100g,20,0
612,蘿美萵苣,100g,13,0
613,土植本島萵苣(1月取樣),100g,17,0
614,土植本島萵苣(3月取樣),100g,18,0
615,土植本島萵苣(4月取樣),100g,17,0
616,土植本島萵苣(7月取樣),100g,23,0
617,土植本島萵苣(10月取樣),100g,14,0
618,水植本島萵苣(1月取樣),100g,14,0
619,水植本島萵苣(4月取樣),100g,15,0
620,水植本島萵苣(7月取樣),100g,13,0
621,水植本島萵苣(10月取樣),100g,12,0
622,有機本島萵苣(1月取樣),100g,15,0
623,有機本島萵苣(4月取樣),100g,19,0
624,有機本島萵苣(7月取樣),100g,17,0
625,有機本島萵苣(10月取樣),100g,15,0
626,水植波士頓萵苣,100g,8,0
627,結球萵苣,100g,13,0
628,豌豆苗,100g,31,0
629,龍葵,100g,26,0
630,土植蕹菜(1月取樣),100g,22,0
631,土植蕹菜(4月取樣),100g,20,0
632,土植蕹菜(7月取樣),100g,17,0
633,土植蕹菜(10月取樣),100g,17,0
634,水植蕹菜(1月取樣),100g,27,0
635,水植蕹菜(4月取樣),100g,24,0
636,水植蕹菜(7月取樣),100g,17,0
637,水植蕹菜(10月取樣),100g,23,0
638,有機蕹菜(4月取樣),100g,26,0
639,有機蕹菜(10月取樣),100g,19,0
640,水蕹菜,100g,24,0
641,蘿蔔葉,100g,14,0
642,花椰菜,100g,23,0
643,冷凍花椰菜,100g,21,0
644,紫色花椰菜,100g,40,0
645,青花菜,100g,28,0
646,冷凍青花菜,100g,25,0
647,青花菜筍,100g,32,0
